iter	Passed	Remaining
0	172	171922
1	173	86501
2	174	57983
3	175	43708
4	176	35160
5	177	29470
6	179	25421
7	180	22420
8	182	20088
9	183	18166
10	184	16608
11	185	15301
12	186	14190
13	187	13239
14	189	12415
15	190	11697
16	191	11060
17	192	10519
18	194	10031
19	195	9582
20	196	9172
21	197	8793
22	198	8447
23	199	8132
24	201	7851
25	202	7584
26	203	7335
27	204	7103
28	206	6909
29	207	6722
30	209	6546
31	210	6370
32	211	6207
33	213	6051
34	214	5902
35	215	5762
36	216	5634
37	217	5512
38	218	5394
39	221	5324
40	223	5220
41	224	5118
42	225	5019
43	226	4922
44	227	4833
45	228	4746
46	230	4665
47	231	4586
48	232	4508
49	234	4447
50	235	4380
51	236	4319
52	238	4261
53	240	4204
54	241	4144
55	242	4086
56	243	4033
57	244	3978
58	246	3924
59	247	3873
60	249	3838
61	250	3789
62	251	3743
63	252	3696
64	253	3652
65	255	3611
66	256	3570
67	257	3530
68	258	3490
69	259	3451
70	260	3414
71	262	3384
72	264	3361
73	266	3328
74	267	3297
75	268	3265
76	269	3232
77	270	3200
78	271	3170
79	273	3140
80	274	3111
81	275	3083
82	276	3050
83	277	3031
84	279	3010
85	280	2984
86	281	2958
87	283	2933
88	284	2908
89	285	2884
90	286	2860
91	287	2837
92	288	2813
93	289	2790
94	290	2770
95	292	2757
96	294	2740
97	295	2720
98	296	2700
99	297	2680
100	298	2660
101	299	2640
102	301	2621
103	302	2603
104	303	2584
105	304	2565
106	305	2548
107	307	2539
108	308	2524
109	310	2508
110	311	2491
111	312	2474
112	313	2459
113	314	2442
114	315	2428
115	316	2413
116	317	2396
117	318	2380
118	319	2364
119	321	2356
120	322	2343
121	323	2329
122	324	2315
123	325	2301
124	326	2288
125	327	2274
126	328	2259
127	329	2246
128	330	2232
129	331	2219
130	332	2206
131	333	2193
132	336	2195
133	338	2187
134	339	2175
135	340	2163
136	341	2151
137	342	2141
138	343	2130
139	344	2119
140	346	2108
141	347	2097
142	348	2087
143	350	2082
144	351	2073
145	352	2064
146	354	2054
147	355	2043
148	356	2034
149	357	2024
150	358	2014
151	359	2005
152	360	1995
153	361	1986
154	362	1976
155	363	1968
156	365	1962
157	366	1954
158	368	1946
159	369	1937
160	369	1926
161	370	1917
162	371	1908
163	372	1899
164	373	1892
165	375	1884
166	376	1876
167	377	1867
168	378	1863
169	380	1859
170	382	1853
171	383	1846
172	384	1839
173	385	1831
174	386	1824
175	388	1816
176	389	1812
177	391	1805
178	393	1803
179	394	1798
180	396	1792
181	397	1784
182	398	1778
183	399	1771
184	400	1764
185	401	1758
186	402	1752
187	404	1745
188	405	1738
189	406	1732
190	408	1728
191	409	1722
192	410	1716
193	411	1710
194	412	1703
195	413	1697
196	414	1690
197	415	1684
198	417	1678
199	418	1672
200	419	1665
201	420	1659
202	421	1656
203	423	1652
204	424	1648
205	426	1642
206	427	1636
207	428	1631
208	429	1625
209	430	1619
210	431	1614
211	432	1608
212	433	1602
213	434	1596
214	436	1595
215	438	1590
216	439	1586
217	440	1580
218	441	1575
219	442	1570
220	443	1564
221	444	1559
222	446	1554
223	447	1549
224	448	1544
225	449	1538
226	451	1537
227	452	1532
228	453	1527
229	454	1522
230	456	1518
231	457	1513
232	458	1508
233	459	1503
234	460	1498
235	461	1493
236	462	1488
237	463	1483
238	464	1479
239	466	1476
240	467	1473
241	469	1469
242	470	1464
243	471	1460
244	472	1456
245	473	1452
246	475	1448
247	476	1444
248	477	1439
249	478	1434
250	480	1434
251	482	1431
252	483	1427
253	484	1423
254	485	1419
255	486	1414
256	487	1410
257	489	1406
258	490	1402
259	491	1398
260	492	1394
261	496	1398
262	498	1395
263	499	1392
264	500	1388
265	501	1384
266	503	1381
267	504	1377
268	505	1373
269	506	1370
270	509	1371
271	511	1369
272	513	1366
273	514	1362
274	515	1358
275	516	1355
276	517	1351
277	518	1347
278	520	1344
279	521	1340
280	525	1343
281	527	1341
282	528	1338
283	529	1334
284	530	1330
285	531	1327
286	532	1323
287	534	1320
288	535	1317
289	536	1314
290	538	1312
291	540	1309
292	541	1306
293	542	1302
294	543	1299
295	544	1295
296	546	1292
297	547	1288
298	548	1285
299	549	1282
300	550	1278
301	553	1278
302	554	1275
303	555	1272
304	557	1269
305	558	1266
306	559	1263
307	560	1260
308	562	1257
309	563	1253
310	564	1250
311	566	1249
312	568	1248
313	570	1245
314	571	1242
315	572	1239
316	573	1235
317	574	1232
318	575	1229
319	576	1225
320	578	1222
321	579	1219
322	582	1220
323	583	1217
324	584	1214
325	586	1211
326	587	1208
327	588	1205
328	590	1203
329	591	1200
330	592	1196
331	593	1193
332	594	1191
333	596	1189
334	597	1185
335	598	1182
336	599	1179
337	600	1176
338	601	1173
339	602	1170
340	603	1167
341	605	1164
342	606	1160
343	607	1157
344	608	1154
345	610	1153
346	611	1150
347	612	1147
348	613	1144
349	614	1141
350	615	1138
351	616	1135
352	617	1132
353	618	1129
354	619	1126
355	620	1122
356	621	1119
357	622	1116
358	624	1114
359	625	1111
360	626	1108
361	627	1105
362	628	1102
363	629	1099
364	630	1096
365	631	1093
366	632	1090
367	633	1087
368	634	1084
369	635	1081
370	636	1078
371	637	1075
372	638	1073
373	640	1071
374	641	1068
375	642	1066
376	643	1063
377	644	1060
378	645	1057
379	646	1054
380	647	1052
381	648	1049
382	650	1047
383	651	1044
384	652	1041
385	653	1039
386	654	1037
387	656	1034
388	657	1032
389	658	1029
390	659	1027
391	660	1024
392	661	1021
393	662	1019
394	663	1016
395	664	1013
396	665	1010
397	666	1007
398	668	1006
399	669	1004
400	670	1001
401	671	999
402	672	996
403	673	993
404	674	990
405	675	988
406	676	985
407	677	983
408	678	980
409	679	977
410	680	975
411	681	973
412	683	971
413	684	969
414	685	966
415	686	963
